theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|1|1|1|6,num_1|1|1|1|1|1|1|1|2|2|3,num_1|1|1|1|1|1|1|1|2|5,num_1|1|1|1|1|1|1|1|3|4,num_1|1|1|1|1|1|1|1|7,num_1|1|1|1|1|1|1|2|2|2|2,num_1|1|1|1|1|1|1|2|2|4,num_1|1|1|1|1|1|1|2|3|3,num_1|1|1|1|1|1|1|2|6,num_1|1|1|1|1|1|1|3|5,num_1|1|1|1|1|1|1|4|4,num_1|1|1|1|1|1|1|8,num_1|1|1|1|1|1|2|2|2|3,num_1|1|1|1|1|1|2|2|5,num_1|1|1|1|1|1|2|3|4,num_1|1|1|1|1|1|2|7,num_1|1|1|1|1|1|3|3|3,num_1|1|1|1|1|1|3|6,num_1|1|1|1|1|1|4|5,num_1|1|1|1|1|1|9,num_1|1|1|1|1|2|2|2|2|2,num_1|1|1|1|1|2|2|2|4,num_1|1|1|1|1|2|2|3|3,num_1|1|1|1|1|2|2|6,num_1|1|1|1|1|2|3|5,num_1|1|1|1|1|2|4|4,num_1|1|1|1|1|2|8,num_1|1|1|1|1|3|3|4,num_1|1|1|1|1|3|7,num_1|1|1|1|1|4|6,num_1|1|1|1|1|5|5,num_1|1|1|1|1|10,num_1|1|1|1|2|2|2|2|3,num_1|1|1|1|2|2|2|5,num_1|1|1|1|2|2|3|4,num_1|1|1|1|2|2|7,num_1|1|1|1|2|3|3|3,num_1|1|1|1|2|3|6,num_1|1|1|1|2|4|5,num_1|1|1|1|2|9,num_1|1|1|1|3|3|5,num_1|1|1|1|3|4|4,num_1|1|1|1|3|8,num_1|1|1|1|4|7,num_1|1|1|1|5|6,num_1|1|1|1|11,num_1|1|1|2|2|2|2|2|2,num_1|1|1|2|2|2|2|4,num_1|1|1|2|2|2|3|3,num_1|1|1|2|2|2|6,num_1|1|1|2|2|3|5,num_1|1|1|2|2|4|4,num_1|1|1|2|2|8,num_1|1|1|2|3|3|4,num_1|1|1|2|3|7,num_1|1|1|2|4|6,num_1|1|1|2|5|5,num_1|1|1|2|10,num_1|1|1|3|3|3|3,num_1|1|1|3|3|6,num_1|1|1|3|4|5,num_1|1|1|3|9,num_1|1|1|4|4|4,num_1|1|1|4|8,num_1|1|1|5|7,num_1|1|1|6|6,num_1|1|1|12,num_1|1|2|2|2|2|2|3,num_1|1|2|2|2|2|5,num_1|1|2|2|2|3|4,num_1|1|2|2|2|7,num_1|1|2|2|3|3|3,num_1|1|2|2|3|6,num_1|1|2|2|4|5,num_1|1|2|2|9,num_1|1|2|3|3|5,num_1|1|2|3|4|4,num_1|1|2|3|8,num_1|1|2|4|7,num_1|1|2|5|6,num_1|1|2|11,num_1|1|3|3|3|4,num_1|1|3|3|7,num_1|1|3|4|6,num_1|1|3|5|5,num_1|1|3|10,num_1|1|4|4|5,num_1|1|4|9,num_1|1|5|8,num_1|1|6|7,num_1|1|13,num_1|2|2|2|2|2|2|2,num_1|2|2|2|2|2|4,num_1|2|2|2|2|3|3,num_1|2|2|2|2|6,num_1|2|2|2|3|5,num_1|2|2|2|4|4,num_1|2|2|2|8,num_1|2|2|3|3|4,num_1|2|2|3|7,num_1|2|2|4|6,num_1|2|2|5|5,num_1|2|2|10,num_1|2|3|3|3|3,num_1|2|3|3|6,num_1|2|3|4|5,num_1|2|3|9,num_1|2|4|4|4,num_1|2|4|8,num_1|2|5|7,num_1|2|6|6,num_1|2|12,num_1|3|3|3|5,num_1|3|3|4|4,num_1|3|3|8,num_1|3|4|7,num_1|3|5|6,num_1|3|11,num_1|4|4|6,num_1|4|5|5,num_1|4|10,num_1|5|9,num_1|6|8,num_1|7|7,num_1|14,num_2|2|2|2|2|2|3,num_2|2|2|2|2|5,num_2|2|2|2|3|4,num_2|2|2|2|7,num_2|2|2|3|3|3,num_2|2|2|3|6,num_2|2|2|4|5,num_2|2|2|9,num_2|2|3|3|5,num_2|2|3|4|4,num_2|2|3|8,num_2|2|4|7,num_2|2|5|6,num_2|2|11,num_2|3|3|3|4,num_2|3|3|7,num_2|3|4|6,num_2|3|5|5,num_2|3|10,num_2|4|4|5,num_2|4|9,num_2|5|8,num_2|6|7,num_2|13,num_3|3|3|3|3,num_3|3|3|6,num_3|3|4|5,num_3|3|9,num_3|4|4|4,num_3|4|8,num_3|5|7,num_3|6|6,num_3|12,num_4|4|7,num_4|5|6,num_4|11,num_5|5|5,num_5|10,num_6|9,num_7|8,num_15
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,105,0,1,3,2,6,4,10,3,7,6,15,5,11,9,21,4,8,7,16,13,12,28,6,12,10,22,9,18,16,36,5,9,8,17,14,13,29,12,24,21,20,45,7,13,11,23,10,19,17,37,16,15,31,27,25,55,6,10,9,18,15,14,30,13,25,22,21,46,12,21,19,39,18,34,31,30,66,8,14,12,24,11,20,18,38,17,16,32,28,26,56,15,27,24,23,48,22,42,38,36,78,7,11,10,19,16,15,31,14,26,23,22,47,13,22,20,40,19,35,32,31,67,19,18,34,30,28,58,27,26,51,46,43,42,91,9,15,13,25,12,21,19,39,18,17,33,29,27,57,16,28,25,24,49,23,43,39,37,79,15,24,22,42,21,37,34,33,69,33,31,61,30,55,51,49,105
2,2,105,105,104,102,103,99,101,95,102,98,99,90,100,94,96,84,101,97,98,89,92,93,77,99,93,95,83,96,87,89,69,100,96,97,88,91,92,76,93,81,84,85,60,98,92,94,82,95,86,88,68,89,90,74,78,80,50,99,95,96,87,90,91,75,92,80,83,84,59,93,84,86,66,87,71,74,75,39,97,91,93,81,94,85,87,67,88,89,73,77,79,49,90,78,81,82,57,83,63,67,69,27,98,94,95,86,89,90,74,91,79,82,83,58,92,83,85,65,86,70,73,74,38,86,87,71,75,77,47,78,79,54,59,62,63,14,96,90,92,80,93,84,86,66,87,88,72,76,78,48,89,77,80,81,56,82,62,66,68,26,90,81,83,63,84,68,71,72,36,72,74,44,75,50,54,56,0
3,1,455,0,0,1,0,4,1,10,0,4,2,20,1,10,5,35,0,4,2,20,11,8,56,1,10,5,35,3,21,14,84,0,4,2,20,11,8,56,6,36,24,20,120,1,10,5,35,3,21,14,84,12,9,57,39,30,165,0,4,2,20,11,8,56,6,36,24,20,120,4,22,15,85,12,60,45,40,220,1,10,5,35,3,21,14,84,12,9,57,39,30,165,7,37,25,21,121,18,88,66,55,286,0,4,2,20,11,8,56,6,36,24,20,120,4,22,15,85,12,60,45,40,220,13,10,58,40,31,166,28,24,124,94,76,70,364,1,10,5,35,3,21,14,84,12,9,57,39,30,165,7,37,25,21,121,18,88,66,55,286,5,23,16,86,13,61,46,41,221,43,34,169,30,130,104,91,455
3,2,455,0,13,36,26,66,49,100,39,79,72,135,62,113,102,168,52,92,85,148,136,132,196,75,126,115,181,108,171,166,216,65,105,98,161,149,145,209,138,204,201,200,225,88,139,128,194,121,184,179,229,172,168,232,234,235,220,78,118,111,174,162,158,222,151,217,214,213,238,144,207,202,252,198,262,268,270,198,101,152,141,207,134,197,192,242,185,181,245,247,248,233,174,240,237,236,261,232,282,296,303,156,91,131,124,187,175,171,235,164,230,227,226,251,157,220,215,265,211,275,281,283,211,208,204,268,270,271,256,267,266,291,316,331,336,91,114,165,154,220,147,210,205,255,198,194,258,260,261,246,187,253,250,249,274,245,295,309,316,169,180,243,238,288,234,298,304,306,234,300,301,286,300,325,351,364,0
3,3,455,455,442,418,429,385,405,345,416,372,381,300,392,332,348,252,403,359,368,287,308,315,203,379,319,335,239,344,263,275,155,390,346,355,274,295,302,190,311,215,230,235,110,366,306,322,226,331,250,262,142,271,278,166,182,190,70,377,333,342,261,282,289,177,298,202,217,222,97,307,226,238,118,245,133,142,145,37,353,293,309,213,318,237,249,129,258,265,153,169,177,57,274,178,193,198,73,205,85,93,97,13,364,320,329,248,269,276,164,285,189,204,209,84,294,213,225,105,232,120,129,132,24,234,241,129,145,153,33,160,165,40,45,48,49,0,340,280,296,200,305,224,236,116,245,252,140,156,164,44,261,165,180,185,60,192,72,80,84,0,270,189,201,81,208,96,105,108,0,112,120,0,125,0,0,0,0
4,1,1365,0,0,0,0,1,0,5,0,1,0,15,0,5,1,35,0,1,0,15,5,2,70,0,5,1,35,0,15,6,126,0,1,0,15,5,2,70,1,35,16,10,210,0,5,1,35,0,15,6,126,5,2,70,36,20,330,0,1,0,15,5,2,70,1,35,16,10,210,0,15,6,126,3,71,40,30,495,0,5,1,35,0,15,6,126,5,2,70,36,20,330,1,35,16,10,210,7,127,75,50,715,0,1,0,15,5,2,70,1,35,16,10,210,0,15,6,126,3,71,40,30,495,5,2,70,36,20,330,17,11,211,131,85,70,1001,0,5,1,35,0,15,6,126,5,2,70,36,20,330,1,35,16,10,210,7,127,75,50,715,0,15,6,126,3,71,40,30,495,37,21,331,15,215,141,105,1365
4,2,1365,0,0,12,1,44,15,100,3,50,33,180,19,110,74,280,6,57,39,195,142,124,392,24,121,83,301,63,237,204,504,10,65,46,211,155,136,420,113,355,314,300,600,30,133,93,323,72,255,220,540,193,172,488,450,430,660,15,74,54,228,169,149,449,125,379,335,320,645,102,303,264,624,240,604,590,585,660,37,146,104,346,82,274,237,577,209,187,519,477,455,715,161,439,389,372,747,344,764,772,775,572,21,84,63,246,184,163,479,138,404,357,341,691,114,324,283,663,258,638,621,615,726,253,229,593,543,517,837,484,464,914,964,992,1001,364,45,160,116,370,93,294,255,615,226,203,551,505,481,771,176,466,413,395,795,366,806,810,811,650,150,378,333,753,306,718,695,687,870,656,624,1034,600,1150,1224,1260,0
4,3,1365,0,78,198,154,330,270,450,228,396,378,540,340,508,492,588,300,460,444,588,588,588,588,408,564,552,624,540,648,660,540,370,522,508,634,640,642,610,636,660,690,700,450,474,618,610,658,600,690,706,546,708,714,618,666,690,330,438,582,570,678,690,694,630,690,690,726,738,438,684,738,762,522,774,582,618,630,198,538,670,666,690,658,730,750,550,754,762,634,690,718,298,762,714,762,778,378,798,438,478,498,78,504,640,630,720,738,744,648,742,718,760,774,424,738,774,802,522,816,592,634,648,144,810,822,630,702,738,198,768,790,240,270,288,294,0,600,720,720,720,714,768,792,552,798,808,648,712,744,264,810,738,792,810,360,832,432,480,504,0,810,810,846,486,864,576,630,648,0,672,720,0,750,0,0,0,0
4,4,1365,1365,1287,1155,1210,990,1080,810,1134,918,954,630,1006,742,798,462,1059,847,882,567,630,651,315,933,675,729,405,762,465,495,195,985,777,811,505,565,585,265,615,315,345,355,105,861,609,661,349,693,405,433,153,459,477,189,213,225,45,912,708,741,444,501,520,216,549,261,288,297,72,579,309,333,93,348,108,117,120,12,790,544,594,294,625,346,372,112,397,414,142,162,172,22,441,177,198,205,30,216,36,40,42,0,840,640,672,384,438,456,168,484,208,232,240,40,513,252,274,54,288,64,70,72,0,297,312,72,84,90,0,96,100,0,0,0,0,0,720,480,528,240,558,288,312,72,336,352,96,112,120,0,378,126,144,150,0,160,0,0,0,0,405,162,180,0,192,0,0,0,0,0,0,0,0,0,0,0,0
