theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1,num_1|1|1|1|1|2,num_1|1|1|1|3,num_1|1|1|2|2,num_1|1|1|4,num_1|1|2|3,num_1|1|5,num_1|2|2|2,num_1|2|4,num_1|3|3,num_1|6,num_2|2|3,num_2|5,num_3|4,num_7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,21,0,1,3,2,6,4,10,3,7,6,15,5,11,9,21
2,2,21,21,20,18,19,15,17,11,18,14,15,6,16,10,12,0
3,1,35,0,0,1,0,4,1,10,0,4,2,20,1,10,5,35
3,2,35,0,5,12,10,18,17,20,15,23,24,15,22,25,30,0
3,3,35,35,30,22,25,13,17,5,20,8,9,0,12,0,0,0
4,1,35,0,0,0,0,1,0,5,0,1,0,15,0,5,1,35
4,2,35,0,0,4,1,12,7,20,3,18,17,20,11,30,34,0
4,3,35,0,10,18,18,18,22,10,24,16,18,0,24,0,0,0
4,4,35,35,25,13,16,4,6,0,8,0,0,0,0,0,0,0
5,1,21,0,0,0,0,0,0,1,0,0,0,6,0,1,0,21
5,2,21,0,0,0,0,3,1,10,0,7,6,15,2,20,21,0
5,3,21,0,0,6,3,12,11,10,9,14,15,0,19,0,0,0
5,4,21,0,10,12,14,6,9,0,12,0,0,0,0,0,0,0
5,5,21,21,11,3,4,0,0,0,0,0,0,0,0,0,0,0
6,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
6,2,7,0,0,0,0,0,0,2,0,1,1,6,0,7,7,0
6,3,7,0,0,0,0,3,2,5,1,6,6,0,7,0,0,0
6,4,7,0,0,4,3,4,5,0,6,0,0,0,0,0,0,0
6,5,7,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0
6,6,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
7,3,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
7,4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
7,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
