theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|5,num_1|1|1|1|1|2|2|2,num_1|1|1|1|1|2|4,num_1|1|1|1|1|3|3,num_1|1|1|1|1|6,num_1|1|1|1|2|2|3,num_1|1|1|1|2|5,num_1|1|1|1|3|4,num_1|1|1|1|7,num_1|1|1|2|2|2|2,num_1|1|1|2|2|4,num_1|1|1|2|3|3,num_1|1|1|2|6,num_1|1|1|3|5,num_1|1|1|4|4,num_1|1|1|8,num_1|1|2|2|2|3,num_1|1|2|2|5,num_1|1|2|3|4,num_1|1|2|7,num_1|1|3|3|3,num_1|1|3|6,num_1|1|4|5,num_1|1|9,num_1|2|2|2|2|2,num_1|2|2|2|4,num_1|2|2|3|3,num_1|2|2|6,num_1|2|3|5,num_1|2|4|4,num_1|2|8,num_1|3|3|4,num_1|3|7,num_1|4|6,num_1|5|5,num_1|10,num_2|2|2|2|3,num_2|2|2|5,num_2|2|3|4,num_2|2|7,num_2|3|3|3,num_2|3|6,num_2|4|5,num_2|9,num_3|3|5,num_3|4|4,num_3|8,num_4|7,num_5|6,num_11
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,55,0,1,3,2,6,4,10,3,7,6,15,5,11,9,21,4,8,7,16,13,12,28,6,12,10,22,9,18,16,36,5,9,8,17,14,13,29,12,24,21,20,45,7,13,11,23,10,19,17,37,16,15,31,27,25,55
2,2,55,55,54,52,53,49,51,45,52,48,49,40,50,44,46,34,51,47,48,39,42,43,27,49,43,45,33,46,37,39,19,50,46,47,38,41,42,26,43,31,34,35,10,48,42,44,32,45,36,38,18,39,40,24,28,30,0
3,1,165,0,0,1,0,4,1,10,0,4,2,20,1,10,5,35,0,4,2,20,11,8,56,1,10,5,35,3,21,14,84,0,4,2,20,11,8,56,6,36,24,20,120,1,10,5,35,3,21,14,84,12,9,57,39,30,165
3,2,165,0,9,24,18,42,33,60,27,51,48,75,42,69,66,84,36,60,57,84,84,84,84,51,78,75,93,72,99,102,72,45,69,66,93,93,93,93,90,108,117,120,45,60,87,84,102,81,108,111,81,108,108,108,126,135,0
3,3,165,165,156,140,147,119,131,95,138,110,115,70,122,86,94,46,129,101,106,61,70,73,25,113,77,85,37,90,45,49,9,120,92,97,52,61,64,16,69,21,24,25,0,104,68,76,28,81,36,40,0,45,48,0,0,0,0
4,1,330,0,0,0,0,1,0,5,0,1,0,15,0,5,1,35,0,1,0,15,5,2,70,0,5,1,35,0,15,6,126,0,1,0,15,5,2,70,1,35,16,10,210,0,5,1,35,0,15,6,126,5,2,70,36,20,330
4,2,330,0,0,8,1,28,11,60,3,34,25,100,15,70,54,140,6,41,31,115,98,92,168,20,81,63,161,51,153,148,168,10,49,38,131,111,104,196,89,211,218,220,120,26,93,73,183,60,171,164,204,145,136,260,294,310,0
4,3,330,0,36,84,70,126,114,150,102,150,150,150,142,166,174,126,132,172,174,156,174,180,84,168,180,192,120,198,144,156,36,160,192,196,160,184,192,64,204,84,96,100,0,192,192,208,112,216,144,160,0,180,192,0,0,0,0
4,4,330,330,294,238,259,175,205,115,225,145,155,65,173,89,101,29,192,116,125,44,53,56,8,142,64,74,14,81,18,20,0,160,88,96,24,30,32,0,36,0,0,0,0,112,40,48,0,54,0,0,0,0,0,0,0,0,0
5,1,462,0,0,0,0,0,0,1,0,0,0,6,0,1,0,21,0,0,0,6,1,0,56,0,1,0,21,0,6,1,126,0,0,0,6,1,0,56,0,21,6,2,252,0,1,0,21,0,6,1,126,1,0,56,21,7,462
5,2,462,0,0,0,0,7,1,30,0,11,6,75,2,40,25,140,0,15,8,95,70,62,210,3,50,30,175,18,150,137,252,0,19,10,115,81,70,266,49,266,262,260,210,4,60,35,210,21,171,151,336,116,98,406,441,455,0
5,3,462,0,0,28,7,84,45,150,21,110,95,200,69,180,166,210,42,143,129,225,228,228,168,100,217,209,217,201,243,254,84,70,183,170,257,275,280,140,287,175,194,200,0,138,261,259,231,252,285,310,0,345,364,0,0,0,0
5,4,462,0,84,168,154,210,215,200,210,230,240,150,248,194,216,84,252,236,250,124,148,156,28,267,174,199,49,216,63,70,0,280,228,246,84,105,112,0,126,0,0,0,0,272,140,168,0,189,0,0,0,0,0,0,0,0,0
