theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|1|1|6,num_1|1|1|1|1|1|1|2|2|3,num_1|1|1|1|1|1|1|2|5,num_1|1|1|1|1|1|1|3|4,num_1|1|1|1|1|1|1|7,num_1|1|1|1|1|1|2|2|2|2,num_1|1|1|1|1|1|2|2|4,num_1|1|1|1|1|1|2|3|3,num_1|1|1|1|1|1|2|6,num_1|1|1|1|1|1|3|5,num_1|1|1|1|1|1|4|4,num_1|1|1|1|1|1|8,num_1|1|1|1|1|2|2|2|3,num_1|1|1|1|1|2|2|5,num_1|1|1|1|1|2|3|4,num_1|1|1|1|1|2|7,num_1|1|1|1|1|3|3|3,num_1|1|1|1|1|3|6,num_1|1|1|1|1|4|5,num_1|1|1|1|1|9,num_1|1|1|1|2|2|2|2|2,num_1|1|1|1|2|2|2|4,num_1|1|1|1|2|2|3|3,num_1|1|1|1|2|2|6,num_1|1|1|1|2|3|5,num_1|1|1|1|2|4|4,num_1|1|1|1|2|8,num_1|1|1|1|3|3|4,num_1|1|1|1|3|7,num_1|1|1|1|4|6,num_1|1|1|1|5|5,num_1|1|1|1|10,num_1|1|1|2|2|2|2|3,num_1|1|1|2|2|2|5,num_1|1|1|2|2|3|4,num_1|1|1|2|2|7,num_1|1|1|2|3|3|3,num_1|1|1|2|3|6,num_1|1|1|2|4|5,num_1|1|1|2|9,num_1|1|1|3|3|5,num_1|1|1|3|4|4,num_1|1|1|3|8,num_1|1|1|4|7,num_1|1|1|5|6,num_1|1|1|11,num_1|1|2|2|2|2|2|2,num_1|1|2|2|2|2|4,num_1|1|2|2|2|3|3,num_1|1|2|2|2|6,num_1|1|2|2|3|5,num_1|1|2|2|4|4,num_1|1|2|2|8,num_1|1|2|3|3|4,num_1|1|2|3|7,num_1|1|2|4|6,num_1|1|2|5|5,num_1|1|2|10,num_1|1|3|3|3|3,num_1|1|3|3|6,num_1|1|3|4|5,num_1|1|3|9,num_1|1|4|4|4,num_1|1|4|8,num_1|1|5|7,num_1|1|6|6,num_1|1|12,num_1|2|2|2|2|2|3,num_1|2|2|2|2|5,num_1|2|2|2|3|4,num_1|2|2|2|7,num_1|2|2|3|3|3,num_1|2|2|3|6,num_1|2|2|4|5,num_1|2|2|9,num_1|2|3|3|5,num_1|2|3|4|4,num_1|2|3|8,num_1|2|4|7,num_1|2|5|6,num_1|2|11,num_1|3|3|3|4,num_1|3|3|7,num_1|3|4|6,num_1|3|5|5,num_1|3|10,num_1|4|4|5,num_1|4|9,num_1|5|8,num_1|6|7,num_1|13,num_2|2|2|2|2|2|2,num_2|2|2|2|2|4,num_2|2|2|2|3|3,num_2|2|2|2|6,num_2|2|2|3|5,num_2|2|2|4|4,num_2|2|2|8,num_2|2|3|3|4,num_2|2|3|7,num_2|2|4|6,num_2|2|5|5,num_2|2|10,num_2|3|3|3|3,num_2|3|3|6,num_2|3|4|5,num_2|3|9,num_2|4|4|4,num_2|4|8,num_2|5|7,num_2|6|6,num_2|12,num_3|3|3|5,num_3|3|4|4,num_3|3|8,num_3|4|7,num_3|5|6,num_3|11,num_4|4|6,num_4|5|5,num_4|10,num_5|9,num_6|8,num_7|7,num_14
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,91,0,1,3,2,6,4,10,3,7,6,15,5,11,9,21,4,8,7,16,13,12,28,6,12,10,22,9,18,16,36,5,9,8,17,14,13,29,12,24,21,20,45,7,13,11,23,10,19,17,37,16,15,31,27,25,55,6,10,9,18,15,14,30,13,25,22,21,46,12,21,19,39,18,34,31,30,66,8,14,12,24,11,20,18,38,17,16,32,28,26,56,15,27,24,23,48,22,42,38,36,78,7,11,10,19,16,15,31,14,26,23,22,47,13,22,20,40,19,35,32,31,67,19,18,34,30,28,58,27,26,51,46,43,42,91
2,2,91,91,90,88,89,85,87,81,88,84,85,76,86,80,82,70,87,83,84,75,78,79,63,85,79,81,69,82,73,75,55,86,82,83,74,77,78,62,79,67,70,71,46,84,78,80,68,81,72,74,54,75,76,60,64,66,36,85,81,82,73,76,77,61,78,66,69,70,45,79,70,72,52,73,57,60,61,25,83,77,79,67,80,71,73,53,74,75,59,63,65,35,76,64,67,68,43,69,49,53,55,13,84,80,81,72,75,76,60,77,65,68,69,44,78,69,71,51,72,56,59,60,24,72,73,57,61,63,33,64,65,40,45,48,49,0
3,1,364,0,0,1,0,4,1,10,0,4,2,20,1,10,5,35,0,4,2,20,11,8,56,1,10,5,35,3,21,14,84,0,4,2,20,11,8,56,6,36,24,20,120,1,10,5,35,3,21,14,84,12,9,57,39,30,165,0,4,2,20,11,8,56,6,36,24,20,120,4,22,15,85,12,60,45,40,220,1,10,5,35,3,21,14,84,12,9,57,39,30,165,7,37,25,21,121,18,88,66,55,286,0,4,2,20,11,8,56,6,36,24,20,120,4,22,15,85,12,60,45,40,220,13,10,58,40,31,166,28,24,124,94,76,70,364
3,2,364,0,12,33,24,60,45,90,36,72,66,120,57,102,93,147,48,84,78,132,123,120,168,69,114,105,159,99,153,150,180,60,96,90,144,135,132,180,126,180,180,180,180,81,126,117,171,111,165,162,192,156,153,201,207,210,165,72,108,102,156,147,144,192,138,192,192,192,192,132,186,183,213,180,228,237,240,132,93,138,129,183,123,177,174,204,168,165,213,219,222,177,159,213,213,213,213,210,240,258,267,78,84,120,114,168,159,156,204,150,204,204,204,204,144,198,195,225,192,240,249,252,144,189,186,234,240,243,198,240,240,240,270,288,294,0
3,3,364,364,352,330,340,300,318,264,328,288,296,224,306,252,266,182,316,276,284,212,230,236,140,294,240,254,170,262,190,200,100,304,264,272,200,218,224,128,232,148,160,164,64,282,228,242,158,250,178,188,88,196,202,106,118,124,34,292,252,260,188,206,212,116,220,136,148,152,52,228,156,166,66,172,76,82,84,12,270,216,230,146,238,166,176,76,184,190,94,106,112,22,198,114,126,130,30,136,36,40,42,0,280,240,248,176,194,200,104,208,124,136,140,40,216,144,154,54,160,64,70,72,0,162,168,72,84,90,0,96,100,0,0,0,0,0
4,1,1001,0,0,0,0,1,0,5,0,1,0,15,0,5,1,35,0,1,0,15,5,2,70,0,5,1,35,0,15,6,126,0,1,0,15,5,2,70,1,35,16,10,210,0,5,1,35,0,15,6,126,5,2,70,36,20,330,0,1,0,15,5,2,70,1,35,16,10,210,0,15,6,126,3,71,40,30,495,0,5,1,35,0,15,6,126,5,2,70,36,20,330,1,35,16,10,210,7,127,75,50,715,0,1,0,15,5,2,70,1,35,16,10,210,0,15,6,126,3,71,40,30,495,5,2,70,36,20,330,17,11,211,131,85,70,1001
4,2,1001,0,0,11,1,40,14,90,3,46,31,160,18,100,69,245,6,53,37,175,131,116,336,23,111,78,266,60,216,190,420,10,61,44,191,144,128,364,107,319,290,280,480,29,123,88,288,69,234,206,456,181,163,431,411,400,495,15,70,52,208,158,141,393,119,343,311,300,525,98,281,249,539,228,544,545,545,440,36,136,99,311,79,253,223,493,197,178,462,438,425,550,154,402,364,351,626,326,676,706,720,286,21,80,61,226,173,155,423,132,368,333,321,571,110,302,268,578,246,578,576,575,506,240,219,535,503,486,671,456,440,790,870,916,931,0
4,3,1001,0,66,165,130,270,225,360,192,324,312,420,283,406,399,441,252,376,366,456,465,468,420,339,450,447,465,441,495,510,360,310,426,418,490,505,510,430,510,480,510,520,270,393,492,493,487,489,525,544,354,552,561,417,459,480,165,366,474,468,522,543,550,438,552,498,534,546,246,552,552,579,309,594,354,381,390,66,445,532,537,507,535,553,576,346,586,597,421,471,496,121,603,501,549,565,165,588,198,220,231,0,420,520,516,552,579,588,444,592,514,556,570,220,594,576,607,297,624,352,385,396,0,621,636,396,462,495,0,528,550,0,0,0,0,0
4,4,1001,1001,935,825,870,690,762,546,806,630,658,406,700,490,532,280,743,571,598,355,400,415,175,639,435,475,235,500,275,295,95,681,513,539,305,347,361,137,383,167,185,191,41,579,381,419,191,443,227,245,65,263,275,83,95,101,11,620,456,481,256,295,308,100,329,125,140,145,20,351,153,167,27,176,32,35,36,0,520,328,364,148,387,180,196,36,213,224,48,56,60,0,243,63,72,75,0,80,0,0,0,0,560,400,424,208,244,256,64,276,84,96,100,0,297,108,120,0,128,0,0,0,0,135,144,0,0,0,0,0,0,0,0,0,0,0
