theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|4,num_1|1|1|1|1|2|3,num_1|1|1|1|1|5,num_1|1|1|1|2|2|2,num_1|1|1|1|2|4,num_1|1|1|1|3|3,num_1|1|1|1|6,num_1|1|1|2|2|3,num_1|1|1|2|5,num_1|1|1|3|4,num_1|1|1|7,num_1|1|2|2|2|2,num_1|1|2|2|4,num_1|1|2|3|3,num_1|1|2|6,num_1|1|3|5,num_1|1|4|4,num_1|1|8,num_1|2|2|2|3,num_1|2|2|5,num_1|2|3|4,num_1|2|7,num_1|3|3|3,num_1|3|6,num_1|4|5,num_1|9,num_2|2|2|2|2,num_2|2|2|4,num_2|2|3|3,num_2|2|6,num_2|3|5,num_2|4|4,num_2|8,num_3|3|4,num_3|7,num_4|6,num_5|5,num_10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,45,0,1,3,2,6,4,10,3,7,6,15,5,11,9,21,4,8,7,16,13,12,28,6,12,10,22,9,18,16,36,5,9,8,17,14,13,29,12,24,21,20,45
2,2,45,45,44,42,43,39,41,35,42,38,39,30,40,34,36,24,41,37,38,29,32,33,17,39,33,35,23,36,27,29,9,40,36,37,28,31,32,16,33,21,24,25,0
3,1,120,0,0,1,0,4,1,10,0,4,2,20,1,10,5,35,0,4,2,20,11,8,56,1,10,5,35,3,21,14,84,0,4,2,20,11,8,56,6,36,24,20,120
3,2,120,0,8,21,16,36,29,50,24,44,42,60,37,58,57,63,32,52,50,68,71,72,56,45,66,65,71,63,81,86,36,40,60,58,76,79,80,64,78,84,96,100,0
3,3,120,120,112,98,104,80,90,60,96,72,76,40,82,52,58,22,88,64,68,32,38,40,8,74,44,50,14,54,18,20,0,80,56,60,24,30,32,0,36,0,0,0,0
4,1,210,0,0,0,0,1,0,5,0,1,0,15,0,5,1,35,0,1,0,15,5,2,70,0,5,1,35,0,15,6,126,0,1,0,15,5,2,70,1,35,16,10,210
4,2,210,0,0,7,1,24,10,50,3,30,23,80,14,60,49,105,6,37,29,95,87,84,112,19,71,58,126,48,132,134,84,10,45,36,111,100,96,140,83,175,194,200,0
4,3,210,0,28,63,54,90,85,100,78,106,108,90,105,108,117,63,100,120,124,88,103,108,28,123,114,127,49,135,63,70,0,120,132,138,84,105,112,0,126,0,0,0,0
4,4,210,210,182,140,155,95,115,55,129,73,79,25,91,37,43,7,104,52,57,12,15,16,0,68,20,24,0,27,0,0,0,80,32,36,0,0,0,0,0,0,0,0,0
5,1,252,0,0,0,0,0,0,1,0,0,0,6,0,1,0,21,0,0,0,6,1,0,56,0,1,0,21,0,6,1,126,0,0,0,6,1,0,56,0,21,6,2,252
5,2,252,0,0,0,0,6,1,25,0,10,6,60,2,35,24,105,0,14,8,80,65,60,140,3,45,29,140,18,135,131,126,0,18,10,100,76,68,196,48,231,246,250,0
5,3,252,0,0,21,6,60,35,100,18,80,72,120,55,120,117,105,36,106,100,130,141,144,56,81,146,151,91,153,111,120,0,60,138,134,146,175,184,0,204,0,0,0,0
5,4,252,0,56,105,100,120,130,100,132,124,132,60,143,86,99,21,152,116,126,36,45,48,0,144,60,72,0,81,0,0,0,160,96,108,0,0,0,0,0,0,0,0,0
5,5,252,252,196,126,146,66,86,26,102,38,42,6,52,10,12,0,64,16,18,0,0,0,0,24,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
6,1,210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,28,0,0,0,7,0,1,0,84,0,0,0,1,0,0,28,0,7,1,0,210
6,2,210,0,0,0,0,0,0,5,0,1,1,24,0,10,7,63,0,2,1,39,30,28,112,0,15,8,98,3,89,85,126,0,3,1,54,35,30,182,15,203,209,210,0
6,3,210,0,0,0,0,15,5,50,1,30,24,90,13,75,66,105,4,51,43,115,115,114,70,25,110,104,105,99,120,125,0,10,79,68,155,175,180,0,195,0,0,0,0
6,4,210,0,0,35,15,80,60,100,42,100,98,80,91,100,107,35,78,117,121,55,65,68,0,125,85,98,0,108,0,0,0,120,128,141,0,0,0,0,0,0,0,0,0
6,5,210,0,70,105,110,90,110,50,123,71,78,15,94,25,30,0,112,40,45,0,0,0,0,60,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
